trial,shift_days,sharpe,cagr,max_dd,n_days
43,-457,0.9852085817087134,0.1766933323535027,-0.19995519504215653,1761
44,-598,1.0715681259949925,0.19615185522851486,-0.22541961648246966,1761
45,360,0.17302550747463177,0.03817299210936986,-0.4054709522347506,1761
46,-325,0.7408172703387924,0.13077222694892066,-0.2132333068275143,1761
47,572,-0.010046733561192542,0.01176665257772136,-0.42589326021457663,1761
48,-206,0.6216953754863749,0.10811706032557233,-0.23315446107055682,1761
49,387,0.17092556759427938,0.03785520463372993,-0.3847027636302497,1761
50,400,0.1765373408645669,0.03868455035782459,-0.39064429124533007,1761
51,-354,0.975343235542269,0.1721171911996302,-0.15989878901468968,1761
52,615,-0.020070471786424272,0.010205278638769633,-0.43685328846378346,1761
53,-223,0.6526696323412043,0.11393023126936508,-0.24943297516803997,1761
54,-549,1.207681714117418,0.21686602840994595,-0.17395212922738768,1761
55,-495,1.1413202727301688,0.20370162561876715,-0.15741083614683637,1761
56,-653,1.3888273026386584,0.2638984849307653,-0.12703429059327265,1761
57,672,-0.013620895576436453,0.011744992353888817,-0.4058313702661974,1761
58,-567,1.2316413142651867,0.2246673111946813,-0.16040790418330597,1761
59,-601,1.0741647755494215,0.1962982327865046,-0.22596980204868788,1761
60,-493,1.1690781948764954,0.20835635803387054,-0.1661749082369215,1761
61,-728,1.3941717532998241,0.25741651713158764,-0.1750463300826739,1761
62,-700,1.4215014943545545,0.26945026872704947,-0.16642970742104568,1761
63,522,0.005284400190440103,0.01391356433615032,-0.386860277967782,1761
64,-674,1.3933407442198529,0.2639615346758235,-0.15391066648763385,1761
65,676,-0.05755110422059188,0.005831827596131989,-0.39719072679387957,1761
66,-669,1.433397276211782,0.2729170200028428,-0.1282695035674184,1761
67,597,0.1362624177453804,0.03277752841264614,-0.37342516370271917,1761
68,-206,0.6216953754863749,0.10811706032557233,-0.23315446107055682,1761
69,-530,1.1839982664260442,0.21202478400091485,-0.17112906575620213,1761
70,460,0.042305502501460555,0.019320896936560805,-0.368244732307766,1761
71,600,0.11148280217095587,0.029253785766568896,-0.37600007243567546,1761
72,-405,1.062744611899253,0.1884131242432905,-0.1998474685250975,1761
73,440,0.052154831714071544,0.020771379468199846,-0.3680046330732494,1761
74,-287,0.7027331562936093,0.12286243112097672,-0.19295157451328282,1761
75,-207,0.6376704375535265,0.11066208752845541,-0.23316576026331182,1761
76,699,-0.06338413378137689,0.004898157862815777,-0.41050380129643416,1761
77,372,0.11400328411969568,0.02950911454447991,-0.41223122439037874,1761
78,512,0.051726819867244464,0.020555197660535374,-0.388471113220889,1761
79,-188,0.5500494205983378,0.09650978768091734,-0.22513250018498154,1761
80,639,-0.04520878132324249,0.007017791407597507,-0.4058510264942795,1761
81,-404,1.0520110959488362,0.18631185513435988,-0.20127027078544368,1761
82,411,0.0897426811851971,0.026143463798485422,-0.37632990956651047,1761
83,306,0.051212736220704214,0.020317145112662915,-0.41468329249366787,1761
