pelosi_hold_days,cramer_hold_days,beta_window,is_sharpe,is_cagr,is_max_dd,is_n_days,oos_sharpe,oos_cagr,oos_max_dd,oos_n_days,is_mean_abs_beta
504,5,126,0.08334706445517129,0.012040162963298906,-0.2064194271556663,1008,-0.4899398221153659,-0.047267338011979354,-0.3585392143014391,753,0.0014268165498046426
126,21,252,0.06873355475168616,0.011983433733512072,-0.25647911511859345,1008,0.5275297660043287,0.1060737739161337,-0.19517760765439773,753,0.005350754360815458
126,21,63,0.06657280883507208,0.011743913719353571,-0.24608085656990109,1008,0.5892709548666463,0.11477006877711626,-0.18254739457128444,753,0.00019999634947309874
63,21,63,0.06269934157234983,0.011754083888862343,-0.27311892097856816,1008,-0.05552632342358999,0.026953237393522844,-0.21848459532793096,753,0.00019999634947309874
126,21,126,0.059915771475368106,0.010912783369317003,-0.2481631208318158,1008,0.5657561549990273,0.11141877065488903,-0.18755889589075392,753,0.007156902501177449
63,21,126,0.04766273186407628,0.009996560668690035,-0.2775119874389467,1008,-0.09027242895366332,0.023000184112240696,-0.224778614290852,753,0.007156902501177449
126,5,63,-0.25680876477189013,-0.0329080874832991,-0.2702843978183539,1008,0.018428222631043843,0.03104018491724525,-0.2221139944735332,753,0.000347198706578735
63,5,63,-0.28033510376677295,-0.03304133304819035,-0.3478065515325087,1008,-0.6246480959715868,-0.05019636601676758,-0.2943090817377416,753,0.000347198706578735
63,5,252,-0.2913209532496716,-0.0348288431255287,-0.35344808906005365,1008,-0.6745612591189784,-0.05688532402329882,-0.29944633222547423,753,0.0052812179193853035
126,5,252,-0.30664727311304996,-0.039752257703638216,-0.3060281245998171,1008,-0.04680329639198994,0.0207872308988426,-0.23194939344071042,753,0.005189003007782693
126,5,126,-0.30905673528704886,-0.03966287639905197,-0.29974185545040744,1008,-0.009324514468345901,0.02669024356428973,-0.23123414659900843,753,0.00562429305111007
63,5,126,-0.34076787139436515,-0.04053951553288315,-0.3557401812985652,1008,-0.6620218803380478,-0.054920385046986486,-0.30035766126186814,753,0.00562429305111007
